train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
55815,Kapali_fast_passenger,GHY,10:10:00,CPK,12:00:00,91,1,50,0,0,0,0,0,0,55816,PASS,374
55816,Kapali_fast_passenger,CPK,14:02:00,GHY,16:00:00,91,1,58,0,0,0,0,0,0,55815,PASS,385
55817,Chaparmukh_silghat_town_passenger,CPK,5:30:00,SHTT,7:55:00,79,2,25,0,0,0,0,0,0,55818,PASS,491
55818,Silghat_town_chaparmukh_passenger,SHTT,18:25:00,CPK,21:25:00,81,3,0,0,0,0,0,0,0,55817,PASS,364
55901,Lumding_tinsukia_passenger,LMG,6:30:00,TSK,20:00:00,346,13,30,0,0,0,0,0,0,55902,PASS,455
55902,Tinsukia_lumding_passenger,TSK,6:45:00,LMG,20:10:00,346,13,25,0,0,0,0,0,0,55901,PASS,405
55903,Furkating_mariani_passenger,FKG,16:05:00,MXN,19:15:00,85,3,10,0,0,0,0,0,0,55904,PASS,307
55904,Mariani_furkating_passenger,MXN,6:30:00,FKG,9:45:00,85,3,15,0,0,0,0,0,0,55903,PASS,426
55905,Dibrugarh_ledo_passenger,DBRT,7:05:00,LEDO,10:45:00,103,3,40,0,0,0,0,0,0,55906,PASS,463
55906,Ledo_dibrugarh_passenger,LEDO,7:15:00,DBRT,10:45:00,103,3,30,0,0,0,0,0,0,55907,PASS,500
55907,Dibrugarh_ledo_passenger,DBRT,16:15:00,LEDO,19:45:00,103,3,30,0,0,0,0,0,0,55908,PASS,438
55908,Ledo_dibrugarh_passenger,LEDO,15:45:00,DBRT,19:45:00,103,4,0,0,0,0,0,0,0,55907,PASS,440
55913,Jorhat_town_tinsukia_passenger,JTTN,5:45:00,TSK,11:45:00,176,6,0,0,0,0,0,0,0,55914,PASS,494
55914,Tinsukia_jorhat_town_passenger,TSK,14:15:00,JTTN,20:25:00,176,6,10,0,0,0,0,0,0,55913,PASS,338
56001,Chennai_arakkonam_passenger,MAS,13:15:00,AJJ,14:55:00,68,1,40,0,0,0,0,0,0,56002,PASS,308
56002,Arakkonam_chennai_passenger,AJJ,21:00:00,MAS,22:40:00,68,1,40,0,0,0,0,0,0,56001,PASS,438
56003,Arakkonam_chengalpattu_passenger,AJJ,5:50:00,CGL,7:15:00,63,1,25,0,0,0,0,0,0,56004,PASS,359
56004,Chengalpattu_arakkonam_passenger,CGL,20:15:00,AJJ,21:45:00,63,1,30,0,0,0,0,0,0,56005,PASS,396
56005,Arakkonam_chengulpattu_passenger,AJJ,17:30:00,CGL,19:10:00,63,1,40,0,0,0,0,0,0,56006,PASS,349
